user_id,registered_at,acquisition_channel,age_group,city_tier,risk_profile,initial_cash_balance,marketing_consent
43,2024-08-05 00:00:00,paid_search,36-45,T1,aggressive,20109.7,0
44,2024-04-23 00:00:00,organic,26-35,T3+,cautious,16732.1,1
45,2024-10-23 00:00:00,social,36-45,T1,balanced,8436.39,1
46,2024-06-23 00:00:00,social,56+,T2,cautious,6896.7,1
47,2024-11-14 00:00:00,paid_search,18-25,T2,cautious,6898.55,1
48,2024-02-03 00:00:00,organic,46-55,T2,balanced,109811.11,1
49,2024-03-15 00:00:00,paid_search,36-45,T2,balanced,9124.36,1
50,2024-05-02 00:00:00,organic,46-55,T3+,balanced,7623.46,1
51,2024-02-29 00:00:00,bank_partner,26-35,T1,cautious,9796.56,0
52,2024-02-11 00:00:00,bank_partner,36-45,T2,aggressive,26414.03,1
53,2024-07-04 00:00:00,referral,18-25,T3+,aggressive,48718.65,1
54,2024-01-16 00:00:00,organic,56+,T2,cautious,5218.33,1
55,2024-03-17 00:00:00,organic,36-45,T2,aggressive,7865.09,1
56,2024-04-29 00:00:00,paid_search,36-45,T2,balanced,3081.79,1
57,2024-08-26 00:00:00,paid_search,46-55,T2,cautious,21596.14,0
58,2024-03-26 00:00:00,organic,18-25,T2,aggressive,1953.59,1
59,2024-05-29 00:00:00,bank_partner,36-45,T2,balanced,6420.23,1
60,2024-09-01 00:00:00,referral,46-55,T2,cautious,17988.88,1
61,2024-09-27 00:00:00,bank_partner,26-35,T1,balanced,5399.97,0
62,2024-10-06 00:00:00,organic,36-45,T3+,cautious,53291.46,0
63,2024-07-05 00:00:00,bank_partner,36-45,T1,cautious,6140.64,1
64,2024-08-31 00:00:00,paid_search,18-25,T2,cautious,24068.46,1
65,2024-02-22 00:00:00,organic,26-35,T3+,balanced,16711.69,1
66,2024-12-22 00:00:00,paid_search,26-35,T3+,cautious,9252.55,1
67,2024-11-09 00:00:00,organic,26-35,T3+,cautious,6794.03,0
68,2024-05-26 00:00:00,bank_partner,26-35,T1,balanced,7322.05,0
69,2024-01-20 00:00:00,paid_search,26-35,T2,cautious,25557.36,1
70,2024-04-03 00:00:00,bank_partner,18-25,T2,aggressive,13315.01,0
71,2024-07-31 00:00:00,referral,36-45,T2,balanced,6657.03,1
72,2024-01-31 00:00:00,referral,18-25,T3+,aggressive,3354.52,1
73,2024-10-11 00:00:00,organic,26-35,T2,balanced,2495.44,1
74,2024-09-29 00:00:00,referral,26-35,T2,cautious,1779.98,1
75,2024-12-10 00:00:00,bank_partner,36-45,T2,cautious,5362.53,0
76,2024-03-22 00:00:00,organic,18-25,T2,balanced,5545.43,1
77,2024-04-18 00:00:00,paid_search,36-45,T2,cautious,14911.29,0
78,2024-01-19 00:00:00,organic,26-35,T2,cautious,1822.8,0
79,2024-06-21 00:00:00,paid_search,26-35,T3+,aggressive,2831.99,1
80,2024-09-20 00:00:00,organic,26-35,T1,balanced,10724.73,0
81,2024-01-02 00:00:00,social,36-45,T1,cautious,2182.85,1
82,2024-12-31 00:00:00,organic,56+,T2,cautious,7235.71,1
83,2024-07-13 00:00:00,social,46-55,T3+,balanced,11368.24,0
84,2024-07-16 00:00:00,organic,46-55,T2,cautious,4861.1,1
85,2024-12-06 00:00:00,referral,36-45,T3+,aggressive,4590.34,1
86,2024-06-10 00:00:00,paid_search,26-35,T3+,balanced,21135.6,1
87,2024-01-10 00:00:00,social,26-35,T2,balanced,909.69,1
88,2024-12-03 00:00:00,organic,26-35,T1,balanced,14609.74,0
89,2024-06-21 00:00:00,referral,36-45,T2,aggressive,6897.79,0
90,2024-06-02 00:00:00,paid_search,18-25,T2,balanced,5240.33,1
91,2024-11-07 00:00:00,referral,26-35,T2,cautious,18589.76,1
92,2024-07-16 00:00:00,organic,36-45,T2,cautious,23182.67,1
93,2024-11-20 00:00:00,paid_search,36-45,T2,aggressive,19442.02,1
94,2024-06-13 00:00:00,bank_partner,36-45,T1,aggressive,9688.44,1
95,2024-04-23 00:00:00,social,26-35,T2,balanced,8088.4,0
96,2024-06-07 00:00:00,paid_search,26-35,T2,balanced,22722.18,1
97,2024-06-29 00:00:00,social,36-45,T2,balanced,80216.04,1
98,2024-12-25 00:00:00,social,26-35,T3+,cautious,4334.98,1
99,2024-11-14 00:00:00,referral,26-35,T1,cautious,26032.58,0
100,2024-06-03 00:00:00,paid_search,26-35,T3+,balanced,18755.97,0
101,2024-06-06 00:00:00,organic,26-35,T3+,balanced,13147.05,1
102,2024-08-04 00:00:00,referral,26-35,T2,balanced,15798.24,1
103,2024-08-18 00:00:00,social,36-45,T1,cautious,4873.04,0
104,2024-05-02 00:00:00,referral,18-25,T1,cautious,2740.3,1
105,2024-02-26 00:00:00,social,56+,T2,balanced,3003.35,1
106,2024-12-30 00:00:00,social,26-35,T3+,balanced,13900.54,1
107,2024-06-15 00:00:00,referral,46-55,T3+,cautious,27708.51,1
108,2024-04-12 00:00:00,organic,26-35,T3+,balanced,186763.97,1
109,2024-09-27 00:00:00,paid_search,26-35,T3+,cautious,8339.99,1
110,2024-08-23 00:00:00,referral,26-35,T1,balanced,6842.04,1
111,2024-08-15 00:00:00,social,26-35,T2,balanced,6103.18,1
112,2024-08-18 00:00:00,social,26-35,T1,balanced,17701.46,1
113,2024-12-01 00:00:00,paid_search,18-25,T3+,aggressive,4301.14,1
114,2024-08-28 00:00:00,organic,36-45,T3+,cautious,19674.64,1
115,2024-02-08 00:00:00,referral,26-35,T3+,aggressive,9451.58,1
116,2024-08-15 00:00:00,paid_search,46-55,T3+,cautious,9451.19,1
117,2024-11-11 00:00:00,organic,26-35,T1,aggressive,11245.12,0
118,2024-06-17 00:00:00,organic,18-25,T3+,balanced,651.94,1
119,2024-11-16 00:00:00,organic,36-45,T3+,balanced,5306.89,1
120,2024-03-29 00:00:00,organic,26-35,T3+,cautious,4317.76,1
121,2024-05-25 00:00:00,paid_search,56+,T3+,aggressive,11151.5,0
122,2024-03-06 00:00:00,paid_search,26-35,T2,cautious,13842.52,1
123,2024-08-30 00:00:00,social,26-35,T3+,balanced,7370.04,1
124,2024-09-30 00:00:00,organic,18-25,T3+,balanced,7189.24,1
125,2024-07-09 00:00:00,organic,46-55,T1,cautious,13862.46,1
126,2024-08-23 00:00:00,social,26-35,T1,aggressive,36623.3,1
127,2024-06-21 00:00:00,paid_search,26-35,T3+,aggressive,5102.32,1
128,2024-08-13 00:00:00,paid_search,46-55,T3+,aggressive,1519.63,1
129,2024-06-09 00:00:00,paid_search,26-35,T2,aggressive,3290.07,0
130,2024-04-24 00:00:00,social,36-45,T3+,balanced,12011.2,1
131,2024-04-27 00:00:00,organic,46-55,T1,cautious,41304.47,0
132,2024-02-25 00:00:00,organic,56+,T1,balanced,19153.46,0
133,2024-07-07 00:00:00,paid_search,18-25,T1,cautious,2339.65,1
134,2024-03-23 00:00:00,social,56+,T1,cautious,36098.21,1
135,2024-04-11 00:00:00,social,26-35,T1,aggressive,5623.88,1
136,2024-12-26 00:00:00,organic,26-35,T3+,cautious,3248.38,1
137,2024-01-28 00:00:00,organic,36-45,T3+,balanced,10561.94,1
138,2024-06-19 00:00:00,bank_partner,26-35,T2,balanced,7379.79,0
139,2024-06-16 00:00:00,organic,26-35,T2,cautious,4036.47,0
140,2024-10-12 00:00:00,referral,36-45,T3+,balanced,7953.95,0
141,2024-07-17 00:00:00,social,46-55,T3+,balanced,20505.19,0
142,2024-06-10 00:00:00,paid_search,36-45,T1,aggressive,18671.37,1
143,2024-05-09 00:00:00,organic,26-35,T3+,aggressive,12200.61,0
144,2024-11-17 00:00:00,organic,26-35,T2,cautious,42244.89,1
145,2024-10-28 00:00:00,paid_search,26-35,T3+,balanced,14021.77,1
146,2024-02-26 00:00:00,paid_search,26-35,T1,balanced,5096.5,1
147,2024-02-16 00:00:00,organic,56+,T1,cautious,4653.29,1
148,2024-11-18 00:00:00,organic,26-35,T3+,balanced,5304.78,0
149,2024-01-06 00:00:00,paid_search,36-45,T2,balanced,10432.67,1
150,2024-03-23 00:00:00,organic,56+,T2,balanced,13794.78,0
151,2024-10-08 00:00:00,social,36-45,T1,balanced,5563.19,0
152,2024-07-30 00:00:00,social,26-35,T1,cautious,6726.03,1
153,2024-09-16 00:00:00,referral,26-35,T3+,balanced,24175.86,1
154,2024-04-06 00:00:00,bank_partner,36-45,T3+,balanced,2035.91,1
155,2024-11-03 00:00:00,social,18-25,T1,aggressive,4771.61,1
156,2024-04-03 00:00:00,referral,26-35,T3+,aggressive,9762.59,1
157,2024-05-01 00:00:00,referral,46-55,T3+,balanced,10580.86,1
158,2024-05-23 00:00:00,referral,56+,T3+,cautious,14076.33,1
159,2024-06-03 00:00:00,paid_search,26-35,T3+,cautious,25350.21,1
160,2024-01-15 00:00:00,organic,18-25,T1,cautious,7936.46,1
161,2024-03-14 00:00:00,organic,46-55,T1,aggressive,59125.43,0
162,2024-02-23 00:00:00,paid_search,26-35,T2,cautious,10159.56,1
163,2024-10-24 00:00:00,organic,26-35,T1,aggressive,2155.05,1
164,2024-11-05 00:00:00,organic,18-25,T1,aggressive,3843.02,0
165,2024-01-01 00:00:00,paid_search,36-45,T2,cautious,6839.82,0
166,2024-02-13 00:00:00,social,26-35,T2,balanced,33332.36,0
167,2024-04-07 00:00:00,referral,18-25,T1,cautious,5008.15,1
168,2024-08-21 00:00:00,organic,46-55,T3+,balanced,8610.37,1
169,2024-06-24 00:00:00,referral,36-45,T1,balanced,13183.6,0
170,2024-09-07 00:00:00,referral,26-35,T3+,aggressive,27050.02,1
171,2024-10-17 00:00:00,bank_partner,26-35,T2,cautious,5877.29,0
172,2024-10-24 00:00:00,social,18-25,T1,balanced,3286.38,0
173,2024-01-07 00:00:00,organic,26-35,T3+,cautious,5751.93,0
174,2024-12-31 00:00:00,bank_partner,36-45,T2,cautious,12259.97,1
175,2024-08-15 00:00:00,organic,46-55,T1,balanced,13918.53,0
176,2024-04-02 00:00:00,paid_search,26-35,T3+,cautious,5301.6,1
177,2024-10-09 00:00:00,paid_search,46-55,T3+,cautious,4179.1,0
178,2024-09-07 00:00:00,paid_search,36-45,T3+,balanced,5077.35,1
179,2024-12-30 00:00:00,social,56+,T2,cautious,27476.58,0
180,2024-10-10 00:00:00,social,26-35,T3+,aggressive,33339.93,1
181,2024-05-24 00:00:00,social,36-45,T3+,balanced,580.7,0
182,2024-05-03 00:00:00,referral,26-35,T1,cautious,4764.07,1
183,2024-10-18 00:00:00,referral,26-35,T1,balanced,46097.35,0
184,2024-08-04 00:00:00,social,18-25,T3+,cautious,45236.84,1
185,2024-03-05 00:00:00,paid_search,46-55,T1,cautious,6897.65,0
186,2024-12-24 00:00:00,social,36-45,T3+,cautious,5927.14,1
187,2024-05-20 00:00:00,organic,36-45,T1,balanced,8275.32,0
188,2024-12-30 00:00:00,social,26-35,T3+,balanced,54375.76,1
189,2024-09-17 00:00:00,bank_partner,18-25,T1,balanced,968.47,1
190,2024-07-27 00:00:00,organic,36-45,T2,balanced,5216.06,0
191,2024-11-30 00:00:00,referral,26-35,T1,cautious,10085.09,0
192,2024-07-11 00:00:00,social,36-45,T1,cautious,11679.86,1
193,2024-05-26 00:00:00,organic,46-55,T2,balanced,19054.97,1
194,2024-04-02 00:00:00,organic,36-45,T3+,balanced,8087.45,1
195,2024-09-17 00:00:00,organic,36-45,T2,balanced,13517.44,0
196,2024-07-30 00:00:00,organic,56+,T2,balanced,3755.77,1
197,2024-07-14 00:00:00,organic,36-45,T1,balanced,3968.56,1
198,2024-01-31 00:00:00,paid_search,36-45,T3+,balanced,29615.94,0
199,2024-11-13 00:00:00,social,56+,T2,balanced,4374.09,1
200,2024-09-19 00:00:00,organic,36-45,T2,aggressive,17663.04,1
201,2024-05-25 00:00:00,bank_partner,18-25,T3+,balanced,1871.53,0
202,2024-12-22 00:00:00,bank_partner,46-55,T2,balanced,32962.86,1
203,2024-11-02 00:00:00,organic,46-55,T2,balanced,1720.95,1
204,2024-12-26 00:00:00,social,26-35,T3+,aggressive,10600.15,0
205,2024-05-22 00:00:00,bank_partner,18-25,T2,balanced,1441.84,1
206,2024-08-17 00:00:00,paid_search,36-45,T2,aggressive,1001.03,1
207,2024-02-28 00:00:00,organic,46-55,T3+,balanced,3038.38,1
208,2024-03-11 00:00:00,organic,46-55,T3+,cautious,9695.22,1
209,2024-01-25 00:00:00,paid_search,36-45,T2,cautious,22422.14,1
210,2024-03-31 00:00:00,referral,36-45,T2,cautious,21542.15,1
211,2024-05-11 00:00:00,referral,26-35,T3+,cautious,20446.19,1
212,2024-02-21 00:00:00,organic,46-55,T2,balanced,22675.4,1
213,2024-10-20 00:00:00,paid_search,18-25,T2,balanced,7662.81,0
214,2024-05-21 00:00:00,organic,46-55,T3+,cautious,20645.91,0
215,2024-07-26 00:00:00,organic,18-25,T2,balanced,77773.18,1
216,2024-07-26 00:00:00,paid_search,36-45,T1,cautious,12234.72,1
217,2024-05-22 00:00:00,bank_partner,18-25,T3+,cautious,877.75,1
218,2024-02-09 00:00:00,organic,36-45,T1,balanced,6475.44,1
219,2024-05-10 00:00:00,social,18-25,T2,balanced,5354.68,1
220,2024-05-19 00:00:00,organic,26-35,T2,aggressive,16567.53,1
221,2024-12-01 00:00:00,organic,26-35,T2,balanced,22636.47,0
222,2024-12-06 00:00:00,bank_partner,26-35,T2,cautious,14384.2,1
223,2024-12-19 00:00:00,paid_search,36-45,T2,cautious,8191.88,1
224,2024-06-01 00:00:00,paid_search,26-35,T2,aggressive,25875.67,1
225,2024-09-28 00:00:00,paid_search,56+,T3+,balanced,9809.44,1
226,2024-04-10 00:00:00,paid_search,26-35,T1,aggressive,6942.79,1
227,2024-03-13 00:00:00,bank_partner,26-35,T2,balanced,6260.01,1
228,2024-05-16 00:00:00,organic,18-25,T3+,cautious,8742.08,1
229,2024-08-08 00:00:00,organic,36-45,T1,aggressive,3922.46,0
230,2024-07-15 00:00:00,referral,26-35,T1,balanced,10121.13,1
231,2024-07-13 00:00:00,referral,56+,T2,balanced,20253.92,1
232,2024-06-08 00:00:00,paid_search,18-25,T2,aggressive,6527.78,1
233,2024-06-04 00:00:00,referral,26-35,T2,balanced,7136.73,1
234,2024-04-13 00:00:00,organic,46-55,T2,balanced,12252.99,1
235,2024-12-26 00:00:00,organic,26-35,T1,balanced,6561.62,1
236,2024-07-01 00:00:00,paid_search,26-35,T2,aggressive,8646.2,0
237,2024-06-27 00:00:00,organic,26-35,T2,balanced,27861.65,1
238,2024-12-29 00:00:00,paid_search,26-35,T2,cautious,3092.99,1
239,2024-01-17 00:00:00,social,26-35,T2,balanced,42738.89,1
240,2024-07-13 00:00:00,organic,56+,T1,cautious,12297.05,1
241,2024-08-17 00:00:00,referral,26-35,T2,cautious,38585.68,1
242,2024-02-14 00:00:00,organic,46-55,T2,balanced,32397.2,1
243,2024-02-06 00:00:00,paid_search,18-25,T2,aggressive,1209.17,0
244,2024-08-29 00:00:00,organic,36-45,T1,aggressive,13381.49,1
245,2024-04-27 00:00:00,organic,26-35,T2,aggressive,8948.23,0
246,2024-11-17 00:00:00,organic,36-45,T1,balanced,13081.76,1
247,2024-07-01 00:00:00,referral,26-35,T3+,cautious,9054.27,1
248,2024-06-29 00:00:00,paid_search,36-45,T2,balanced,7568.48,0
249,2024-11-07 00:00:00,organic,46-55,T3+,balanced,15197.86,1
250,2024-02-21 00:00:00,bank_partner,36-45,T1,balanced,10268.42,1
251,2024-05-23 00:00:00,paid_search,56+,T3+,aggressive,3954.93,1
252,2024-07-24 00:00:00,organic,36-45,T2,cautious,1684.43,1
253,2024-05-17 00:00:00,organic,46-55,T3+,cautious,5442.14,1
254,2024-11-21 00:00:00,paid_search,26-35,T2,cautious,7361.13,1
255,2024-12-07 00:00:00,referral,26-35,T1,cautious,8063.2,1
256,2024-09-21 00:00:00,paid_search,18-25,T3+,balanced,8580.7,1
257,2024-03-19 00:00:00,social,36-45,T3+,cautious,6917.56,1
258,2024-11-11 00:00:00,bank_partner,46-55,T2,aggressive,15440.32,1
259,2024-10-27 00:00:00,organic,18-25,T3+,balanced,3167.63,1
260,2024-01-09 00:00:00,organic,36-45,T2,cautious,7781.13,0
261,2024-01-04 00:00:00,organic,46-55,T1,cautious,1817.17,0
262,2024-09-04 00:00:00,referral,26-35,T2,aggressive,21532.31,1
263,2024-01-28 00:00:00,bank_partner,36-45,T3+,balanced,39132.63,1
264,2024-09-03 00:00:00,organic,26-35,T1,cautious,5353.75,1
265,2024-02-08 00:00:00,bank_partner,18-25,T2,balanced,6795.91,1
266,2024-08-22 00:00:00,social,46-55,T1,cautious,14463.05,0
267,2024-05-10 00:00:00,organic,18-25,T1,balanced,10258.92,1
268,2024-04-16 00:00:00,bank_partner,36-45,T2,balanced,29028.92,1
269,2024-12-18 00:00:00,paid_search,46-55,T1,balanced,14030.96,0
270,2024-07-26 00:00:00,paid_search,18-25,T3+,balanced,11012.54,1
271,2024-01-28 00:00:00,paid_search,26-35,T1,aggressive,27958.58,0
272,2024-09-27 00:00:00,bank_partner,18-25,T2,cautious,4460.97,1
273,2024-12-03 00:00:00,paid_search,26-35,T2,aggressive,7758.01,0
274,2024-10-30 00:00:00,referral,56+,T1,cautious,30697.62,1
275,2024-09-04 00:00:00,referral,46-55,T3+,cautious,25933.55,1
276,2024-08-11 00:00:00,social,56+,T1,balanced,17177.48,1
277,2024-06-19 00:00:00,paid_search,36-45,T1,balanced,4670.78,1
278,2024-01-31 00:00:00,referral,18-25,T2,balanced,13081.34,1
279,2024-09-22 00:00:00,bank_partner,56+,T2,cautious,7034.85,0
280,2024-01-03 00:00:00,referral,18-25,T2,aggressive,11111.52,1
281,2024-01-17 00:00:00,social,36-45,T1,cautious,7935.65,0
282,2024-09-16 00:00:00,organic,56+,T2,aggressive,2642.27,1
283,2024-06-27 00:00:00,referral,36-45,T1,balanced,18681.24,1
284,2024-08-29 00:00:00,paid_search,46-55,T1,balanced,7581.93,1
285,2024-01-10 00:00:00,bank_partner,36-45,T2,cautious,6768.9,0
286,2024-05-14 00:00:00,organic,36-45,T2,balanced,42792.86,1
287,2024-03-17 00:00:00,organic,26-35,T2,balanced,3944.49,1
288,2024-08-27 00:00:00,referral,26-35,T1,cautious,2398.58,1
289,2024-05-28 00:00:00,social,36-45,T1,cautious,3668.17,1
290,2024-05-14 00:00:00,organic,26-35,T3+,balanced,30121.99,0
291,2024-07-02 00:00:00,referral,36-45,T1,balanced,21317.9,1
292,2024-07-17 00:00:00,organic,56+,T2,cautious,16264.89,1
293,2024-11-30 00:00:00,paid_search,36-45,T1,cautious,5241.38,1
294,2024-07-04 00:00:00,referral,26-35,T1,cautious,2398.17,0
295,2024-06-30 00:00:00,social,26-35,T1,cautious,9652.14,0
296,2024-01-09 00:00:00,social,26-35,T1,aggressive,20965.82,0
297,2024-09-29 00:00:00,organic,18-25,T3+,cautious,1466.01,1
298,2024-03-24 00:00:00,organic,26-35,T2,aggressive,19222.28,1
299,2024-09-06 00:00:00,organic,36-45,T2,balanced,33116.0,1
300,2024-05-18 00:00:00,organic,36-45,T1,balanced,2335.07,1
301,2024-03-08 00:00:00,organic,26-35,T1,cautious,8915.8,0
302,2024-12-03 00:00:00,organic,26-35,T2,aggressive,7932.78,1
303,2024-03-29 00:00:00,organic,26-35,T1,balanced,19030.82,1
304,2024-11-25 00:00:00,bank_partner,26-35,T3+,balanced,7606.24,1
305,2024-05-31 00:00:00,referral,18-25,T2,aggressive,33898.69,1
306,2024-06-03 00:00:00,paid_search,46-55,T3+,balanced,3568.77,1
307,2024-07-25 00:00:00,referral,26-35,T2,balanced,3946.33,1
308,2024-08-23 00:00:00,organic,26-35,T1,aggressive,7879.61,1
309,2024-09-26 00:00:00,paid_search,26-35,T1,cautious,5468.18,1
310,2024-02-26 00:00:00,referral,56+,T3+,cautious,12455.26,1
311,2024-02-24 00:00:00,organic,26-35,T1,balanced,14948.97,1
312,2024-12-11 00:00:00,social,36-45,T2,cautious,11578.4,1
313,2024-10-11 00:00:00,referral,26-35,T3+,aggressive,19910.62,1
314,2024-07-19 00:00:00,organic,26-35,T1,balanced,24831.82,1
315,2024-09-24 00:00:00,organic,18-25,T3+,aggressive,18197.9,1
316,2024-08-03 00:00:00,bank_partner,36-45,T3+,balanced,500.0,0
317,2024-05-03 00:00:00,paid_search,26-35,T1,cautious,2662.49,0
318,2024-04-26 00:00:00,organic,36-45,T1,cautious,3279.11,0
319,2024-07-20 00:00:00,organic,46-55,T1,cautious,28062.81,0
320,2024-04-30 00:00:00,organic,26-35,T1,cautious,33566.9,1
321,2024-09-15 00:00:00,paid_search,36-45,T3+,balanced,13011.68,1
322,2024-02-03 00:00:00,referral,36-45,T1,cautious,31879.21,1
323,2024-05-11 00:00:00,paid_search,46-55,T1,balanced,3308.71,1
324,2024-06-27 00:00:00,bank_partner,26-35,T2,balanced,9827.33,1
325,2024-07-17 00:00:00,bank_partner,56+,T2,cautious,7162.33,0
326,2024-04-19 00:00:00,organic,26-35,T2,cautious,53690.21,1
327,2024-10-11 00:00:00,bank_partner,26-35,T2,cautious,6586.38,1
328,2024-10-08 00:00:00,social,56+,T3+,balanced,95892.33,0
329,2024-11-12 00:00:00,referral,46-55,T1,cautious,18637.06,1
330,2024-08-20 00:00:00,paid_search,36-45,T3+,cautious,23634.04,1
331,2024-11-12 00:00:00,social,46-55,T2,balanced,1833.45,1
332,2024-06-08 00:00:00,social,36-45,T2,cautious,6715.86,1
333,2024-11-20 00:00:00,paid_search,46-55,T2,balanced,1678.12,1
334,2024-07-18 00:00:00,paid_search,36-45,T2,balanced,136956.53,0
335,2024-05-06 00:00:00,paid_search,26-35,T2,aggressive,6859.57,0
336,2024-11-28 00:00:00,bank_partner,46-55,T3+,cautious,16213.71,0
337,2024-09-27 00:00:00,bank_partner,36-45,T3+,cautious,10857.32,1
338,2024-09-21 00:00:00,social,26-35,T2,balanced,9065.43,0
339,2024-05-28 00:00:00,paid_search,18-25,T3+,balanced,34641.9,1
340,2024-11-03 00:00:00,paid_search,36-45,T2,cautious,12344.87,0
341,2024-06-11 00:00:00,bank_partner,36-45,T2,cautious,6028.95,1
342,2024-06-05 00:00:00,paid_search,46-55,T1,balanced,20201.39,0
343,2024-01-25 00:00:00,social,46-55,T3+,balanced,37953.37,1
344,2024-03-12 00:00:00,bank_partner,26-35,T1,balanced,15126.98,1
345,2024-12-28 00:00:00,social,36-45,T1,cautious,60317.61,1
346,2024-06-11 00:00:00,organic,26-35,T2,cautious,2832.34,0
347,2024-09-19 00:00:00,social,26-35,T1,cautious,3841.48,1
348,2024-03-12 00:00:00,paid_search,56+,T3+,balanced,34723.14,1
349,2024-10-26 00:00:00,organic,18-25,T1,balanced,13674.83,0
350,2024-10-17 00:00:00,referral,46-55,T1,balanced,6347.46,1
351,2024-11-12 00:00:00,organic,36-45,T3+,cautious,1024.82,0
352,2024-11-27 00:00:00,referral,26-35,T1,aggressive,1173.85,1
353,2024-09-06 00:00:00,paid_search,56+,T1,cautious,12859.87,0
354,2024-03-12 00:00:00,bank_partner,26-35,T3+,cautious,9946.89,1
355,2024-10-16 00:00:00,referral,46-55,T1,cautious,16321.71,1
356,2024-07-22 00:00:00,organic,26-35,T3+,balanced,4974.17,1
357,2024-02-02 00:00:00,bank_partner,36-45,T3+,aggressive,1797.01,1
358,2024-06-07 00:00:00,bank_partner,26-35,T1,aggressive,24351.07,1
359,2024-03-17 00:00:00,referral,26-35,T1,balanced,4072.49,0
360,2024-06-28 00:00:00,paid_search,26-35,T2,cautious,1444.27,1
361,2024-09-23 00:00:00,paid_search,18-25,T1,aggressive,2879.64,1
362,2024-06-16 00:00:00,referral,46-55,T2,aggressive,156037.66,1
363,2024-07-02 00:00:00,organic,46-55,T1,cautious,12550.53,1
364,2024-10-08 00:00:00,paid_search,46-55,T3+,cautious,5830.93,1
365,2024-12-25 00:00:00,bank_partner,26-35,T1,cautious,13077.02,1
366,2024-09-19 00:00:00,organic,26-35,T2,balanced,678.18,0
367,2024-06-09 00:00:00,referral,26-35,T3+,aggressive,9272.73,0
368,2024-08-31 00:00:00,referral,46-55,T2,balanced,60152.93,1
369,2024-09-07 00:00:00,organic,26-35,T3+,cautious,8866.02,1
370,2024-01-31 00:00:00,organic,26-35,T3+,cautious,23584.63,1
371,2024-12-10 00:00:00,bank_partner,26-35,T1,aggressive,4122.19,1
372,2024-06-09 00:00:00,organic,26-35,T3+,cautious,2590.04,1
373,2024-07-05 00:00:00,social,18-25,T2,balanced,6778.47,1
374,2024-04-28 00:00:00,social,36-45,T1,balanced,6159.97,1
375,2024-12-24 00:00:00,organic,36-45,T3+,cautious,26997.97,1
